Review,Fake
"We stayed at the Schicago Hilton for 4 days and 3 nights for a conference. I have to say, normally I am very easy going about amenities, cleanliness, and the like...however our experience at the Hilton was so awful I am taking the time to actually write this review. Truly, DO NOT stay at this hotel. When we arrived in our room, it was clear that the carpet hadn't been vacuumed. I figuered, ""okay, it's just the carpet."" Until I saw the bathroom! Although the bathroom had all the superficial indicators of housekeeping having recently cleaned (i.e., a paper band across the toilet, paper caps on the drinking glasses, etc., it was clear that no ACTUAL cleaning took place. There was a spot (probably urine!) on the toilet seat and, I kid you not, the remnants of a lip-smudge on the glass. I know people who have worked many years in the hotel industry and they always warned that lazy housekeeping will make things ""appear"" clean but in fact they make no effort to keep things sanitary. Well, the Hilton was proof. I called downstairs and complained, and they sent up a chambermaid hours later. Frankly, I found the room disgusting. The hotel itself, outside the rooms, was cavernous and unwelcoming, with an awful echo in the lobby area that created a migraine-inducing din. Rarely have I been so eager to leave a place as this. When I got home, I washed all my clothes whether I had worn them or not, such was the skeeviness of our accomodations. Please, do yourself a favor and stay at a CLEAN hotel.
",1
"My $200 Gucci sunglasses were stolen out of my bag on the 16th. I filed a report with the hotel security and am anxious to hear back from them. This was such a disappointment, as we liked the hotel and were having a great time in Chicago. Our room was really nice, with 2 bathrooms. We had 2 double beds and a comfortable hideaway bed. We had a great view of the lake and park. The hotel charged us $25 to check in early (10am).
",0
"Hotel is located 1/2 mile from the train station which is quite hike when you're traveling with luggage and/or kids. They seem to cash in on guests who arrive in private car by charging exorbitant parking/valet fees. Rooms feature either double or king sized beds; no queen beds at all. If you want a little extra leg room in your bed, the price jump from double- to king-sized is stiff. Rooms with any kind of view pay a healthy surcharge, too.
",1
"This was a gorgeous hotel from the outside and in the lobby. However, when we reached the elevator things started to look quite dingy. Our bathrooms in our room had grout that was in need of a deep scrubbing and had an overall appearance of dirty. Wireless internet is available, but that's an additional fee. Are you kidding? Even the roach motel offers wireless for free! Also, the fitness room was available for only $15 per day. Wow, I thought the room rate was enough to cover that. When I used the coffee supplies in the room, they were not replenished. I called the next morning requesting more and was told that wasn't housekeeping's area but they would send some up. No kidding, nearly 90 minutes later I got the cream and sugar! Glad I wasn't in a big hurry. I'll definitely be staying next door for half the cost and a lot better accommodations the next time I'm in Chicago!
",0
"I made my reservation at the Hilton Chicago believing I was going to be staying in a classy hotel with many amenities. Unfortunately, my stay at the Hilton Chicago went downhill from the moment I checked in. There was only one clerk at the front desk, and several guests already waiting ahead of me. Once I finally got checked in and located my room, I discovered that neither of my room keys worked and had to make my way back to the front desk. Finally I made it into my room. It appeared nice enough until I went to use the bathroom and found the toilet clogged. The manager moved me into a new room, so I can't complain too much, but still it was a hassle. Finally settled, I was able to relax for the rest of my evening and was looking forward to sleeping in the next morning. That is -- until the front desk called me at 5 am with a wake up call I had not requested! Needless to say, my overall experience with this hotel left much to be desired and I will choose other accommodations for my next trip to Chicago.
",1
"The hotel is very impressive upon entering and the staff was very friendly, however we felt our room was very dated and worn looking. Our air conditioning didn't seem to be working well, but we turned it down and thought that it would eventually... cool off. Our first night was interrupted by a phone call at one A.M. That was a fax, it happened 4 times. By this time we realized that the air was not working again, so after fussing with the controls it did kick on. The next morning I mentioned to the concierge the issues with the phone, but didn't think to mention the issues with the air because it appeared to be working. After being out seeing the sites of Chicago for several hours and being very hot we were looking forward to resting in a cool room before going to a show . Our room was 78 degrees, I called and maintenience did come to check. After determining that the unit needed a motor it was another hour so we did not get to rest in a cool room before going out. I feel an offer should have been made to us by the hotel. Also was very surprised that WiFi was not a free service !! We will not be staying at the Hilton on our next trip to Chicago.
",0
"When most people think Hilton, they think luxury. I know I did. I only wish I'd been half right. Upon arriving, I was informed that the incompetent staff had lost my reservation entirely. Not a very auspicious start, but they did find me another room. Granted, the new room had an oh-so-scenic view of the broadside of an adjacent building. But, fine. I was willing to let this slide. I didn't want to be difficult. In the following days of my stay, it got a little harder to ignore all the minor problems that were making the Hilton very undeserving of the term, luxury hotel. Noisy neighbors. Rude staff. If the state of my bathroom towels was anything to go by upon checkout, I doubt my sheets were changed even once. Next time I'll ignore the hype and stay somewhere cheaper. The service couldn't possibly be worse.
",1
"Going to the Internet Retailer 2010 at the last minute and this was the only hotel left available with shuttle services. First of all, from reading other reviews, now I know I got ripped @ $249 a night when Priceline folks are sniping these rooms for $79 (albiet, I got free wifi). The hotel is nice; but it can only get so nice for an oldie...no matter how much money you dump into it. Shower head was really low (I'm 6'1""), water pressure was low. It is in a decent part of town with a hype bar close by (check out reviews on Yelp!) For some off reason I ended up with two double beds (they asked me a few times if I was traveling alone). If traveling here: 1 - make sure you get a better deal than I did 2 - confirm your exact needs with reservation over the phone and in person 3 - Don't have super high hopes My room was neither up to par as a business class (although the 22nd floor is called the executive floor) nor was it a good fit for the romantic couple...it wasnt even spacious enough for those last minute get awayers (sp?) trying to save money.
",0
"My husband and I recently stayed stayed at the Hilton Chicago and it was a horrible experience. When we arrived, the front desk clerk was on the phone on what sounded like a personal call and didn't even acknowledge us for at least five minutes. When we got to our room I went to lay on the bed and noticed a black hair on the pillow. I'm am very paranoid about hotels being dirty, so I pulled back the sheets and moved all the pillows around and noticed several more hairs. I called for some new sheets which they said they would send right up but it actually took nearly 30 minutes. The second night we were there we decided to try the Irish pub in the hotel called Kitty O'Sheas because my husband loves pub food. We had the shepherd's pie which was awful. It was watery and had no flavor and it was not cheap! Our server seemed annoyed when we complained and did not offer it to be taken off the check. While we had a great trip to Chicago, the Hilton was definitely NOT a highlight of our trip. Overall, we had rude service, a dirty room and bad food. Spend your money elsewhere
",1
"I checked into this hotel, Rm 1760 on 11/13/2010. Next day, I woke up with bed bug bites, numerous, on my arm and back. We reported this to the management who assiged us to rm 1901 and promised to get the room inspected and ""taken care of"". I insisted that they get all my clothes laundered, which they did. Interestingly, no one from the management, other than the security guy who came when we first complained, even offered any apology for the inconvience. I missed couple of meetings that day. The next day, I called as I forgot something in the previous room, only to discover that the room was already assigned to the next guest. So much for reporting!
",0
"My wife and I booked a room at the Hilton Chicago three weekends ago, as this is a downtown hotel and a well known brand we knew we were going to have to pay a little more but for that additional price we were expecting to get a quality hotel. We were expecting some minutia of luxury. However, this was not the case with the Hilton Chicago. First, we had reserved a room with a king size bed, but they did not have any available and we were stuck with a queen size bed. Now, we did get a reduced price because of this, but we had made a reservations and expected to be accommodated as we had asked. Second, we had to change our room key twice. The room keys they used supposedly lost their ""charge"". This is what the front desk told us. So, we had to go up to our room, find out the key didn't work, then come back down stairs get a new key, then get back in. This was highly unprofessional, and they really need to look into their key system. Lastly, we were told at the end of our stay that we had no charges on our room. We knew this was accurate, but I always check just in case. But two weeks later when I checked my credit card an additional two hundred dollars of charges were on my card. I had to call and argue with them for twenty minutes before they took it off my card. Suffice it to say we will not be staying there again.
",1
"I expected a glamorous room and I walked into a disappointment. Housekeeping and Management must not be concerned with attention to detail at this hotel. If you like staying somewhere that the air in the rooms doesn't go down past 74, the closet is 24"" wide, all old/dirty brass fixtures, beds that are a little bigger than a twin, showerheads that barely put out water, then this is your hotel. I might be spoiled by staying in Marriott's, but I stay in hotels 1/3 of the year and was severly disappionted. No free breakfasts or a room change will get me to stay here again.
",0
"For a hotel rated with four diamonds by AAA, one would think the Hilton Chicago would be almost like staying at a palace with royalty. The only royal thing about this hotel however is that it was a royal nightmare. I should have known from the moment I walked in with my wife that this was going to become a bigger headache than what it was worth. First off, as soon as we arrived to check in at the hotel with the clerk who couldn't be any older than nineteen or twenty, red flags started going up. The clerk was extremely rude and lazy, acting like it was a chore even getting up from texting on his cell phone. If that wasn't bad enough, the clerk pretty much ignored me while blatantly staring at my wife's breasts. She wasn't even wearing anything that could be considered skimpy as it was cold out and she was wearing a turtle neck sweater under a large fur lined coat. After diverting his atention several times we finally got our room keys. It shouldn't have been any surprise when we learned that there were no one to help us with our luggage as the clerk said they were all out on break. Okay, that was annoying, but we managed easy enough. We finally got to the third floor where our suite had been reserved for over a month and we looked forward to resting after our long trip. To our surprise, not to mention our disgust and horror, their was already a couple in what was supposed to be our room on the bed making out. It took almost a half hour between the couple in the room, the front desk, and my wife and me to get it straightened out. Apparently the night clerk didn't bother following policy as they had taken our reservation off the computer to give to their friends while leaving the printed card for the day clerk. After what could only be described as chaos, we were finally given another room on the next floor up. We were thankful when we got to it and my wife went to use the bathroom while I dropped our luggage by the beds. Hearing a clinking sound I bent down to look what one of the bags could have hit to see an empty beer bottle sticking out from under the bed. I was about to call back down to give the clerk a piece of my mind when I heard my wife cry out. There on the wall of the bathroom were several roaches crawling around and I noticed something else in the sink that almost made us leave then and there. There, in the sink and in very plain sight, was a used condom! So far we were less than thrilled about being there and we stomred back downstairs and demanded our money back. By then the desk manager had returned from where ever she went off to and talked us into taking another room, free of charge to make up for our troubles. The room itself was thankfully clean with no bugs and no trash or any other disgusting items laying around. Despite being a lot smaller and not having the promised view that our other room should have had, we decided to make due. So while my wife went to get cleaned up after our long trip I pulled my laptop out to use the so called high speed internet access. I shouldn't have even bothered as I've used dial up that went at least three times as fast as the speeds I was getting. With a quick call to the desk I was informed the person responsible for the internet was gone for the day and there was nothing that could be done for the moment. So instead of worrying about it, we went to get something to eat from the the onsite dinning area. Yet again we were met with rude people who either stared at my wife's chest or forgot half of our order. After arguing with them for what seemed like forever over not getting everything, we found that our found was not only bland, it was cold! We didn't even bother trying anything else, that was the final straw so we got our things and found another hotel. I don't know who would hire a bunch or rude employees who was barely out of high school or who couldn't clean a room, but I know that that hotel didn't deserve four diamonds unless it was in the negative. That place should be shut down because there is no way they know how to run a decent hotel.
",1
"I stayed at the Chicago Hilton because it was host to a conference I was attending. Before I arrived I tried to find out about the ""In Room Fitness"" program advertised on the corporate website. I called the 800 reservation number and the client service representative answered that the hotel did have a fitness center. I explained that I was inquiring about the 'In Room Fitness' advertised on their website. She put me on hold and came back a few minutes later and told me that there was no such thing and that I should call the property directly. I did and got the same response. I asked if they could reserve a treadmill for my room. Again, this was a problem. When I arrived at the hotel, no treadmill was available. When I went to tour the fitness room the first night I found that they close at 9pm. When I returned to the center the next day I discovered that they charge $13 per day to use the fitness equipment. The pool, track and locker room are free, but to use the treadmills, etc. you have to pay $13 per day. This charge is not noted anywhere -- not on the website, not in any of the guest service materials in the room. The food for the conference was mediocre, but the one room service meal I had was pretty good. During one of the conference lunch sessions the wait staff made so much noise we couldn't hear the speaker. The HVAC didn't work well in my room and I kept the windows open for most of my three night stay. The beds were comfortable with very nice linens. I tried to get a late checkout, which was offered on a card in my room. The woman who answered the phone would only give me an hour, not the 11-2pm range advertised in my room. The best service I received was from the folks in the Security office. The hotel does not have safes in guest rooms, so I became very friendly with Security office as I locked up my laptop between conference sessions and every other time I couldn't carry it out of the hotel. I visit Chicago at least once a year for personal travel and will continue to stay at the Marriott properties. Only wish I had done so for this visit.
",0
"I had high hopes for the Hilton Chicago, but I am sad to say that I am disapointed. Not only is it outrageously expensive (over $200 for two people for one night), but they expect you to pay over $40 to park your car! They do not offer free Wi-Fi, but instead I had to pay $20 to get on the internet in my room. I had to wait until 3 pm to check in (even though my flight was in the morning) and I had to rent a car at the airport because the hotel did not offer transportation too and from. After all of this stress, the Hilton Chicago didn't have an in hotel bar either. I doubt I will stay here again!
",1
"I stayed there on October 6, 2012. When I pulled the covers of my bed, there was a small dark brown insect the size of a grain of rice, which was either a bed bug or cockroach. I trapped it under a glass (see the attached pictures) and called the front desk. The housecleaning person claimed it was a cockroach. Absolutely horrible service by the hotel management to respond to the problem, failing to follow through on promises they made to me. Setting aside the bug problem, I caution that the windows are quite thin. We could hear a lot of the street noise, which made for a hard night's sleep, not to mention worrying about insects even after changing rooms. For $400 a night after tax, I strongly encourage you to check for alternatives.
",0
"We booked a room at the Hilton Chicago for two nights to stay the weekend, but upon arrival our reservation could not be found. I even provided the hotel with our confirmation number, but it still wasn't available! Fortunately, another reservation had not shown up so there was space available for us. Once we settled into our room for the night (after a long flight), there was a bad odor coming from the bathroom. Apparently the cleaning solution they used was tainted and they had to re-clean it after our arrival. Needless to say, with both of these poor experiences in just one night, I will be hesitant to EVER stay in this hotel again, let alone any other Hilton around. Please consider someplace else before the Hilton Chicago!
",1
"I stayed at the Hilton Chicago last week and was very disappointed. The highlight of the stay was waiting 20 minutes for a bellman to come and get our luggage. Finally, my 72 year old mother, 8 year old son, and myself gave up and dragged it all down to valet parking ourselves - no easy task. The security guard was kind enough to hold the door for me. The valet parking attendants looked over and then ignored us. As far as I could tell, he was just standing there doing nothing. I couldn't let go of the bags without everything falling so I gave my son the parking receipt. The attendant pointed to where our car was parked - no short distance away. My 8 year old had to tell him to pull it up. They should have been ashamed. Less significant, but irritating issues. The pool is part of the Hilton Athletic club. Two lanes are reserved for adults wanting to lap swim. Basically, two adults can take up 2/3rds of the pool while everyone else is consigned to the leftover 1/3rd. This is ridiculous and very family unfriendly. In addition, the pool closes at 9 p.m. What pool closes at 9? We stayed for 3 nights. Not one single additional bar of soap, bottle of shampoo, or coffee stirrers.
",0
