Review,Fake
"The Conrad Chicago hotel had some of the worst service I have ever dealt with. I got the Executive Room with a king size bed. When I got in, the sheets were stained with some type of chocolate or mud. I called down to front desk and it took them an hour to come up and change them for me. They have a pillow menu which I tried to select from but they were out of over half of them. The Ipod dock was not working either. Also, the room service servers were very short with me and delivered my food luke warm. This hotel is the worst in Chicago and I would never recommend going there!
",1
"Do you imagine getting there for the first time and overlooking the room, that was supposed to be ready, with used towels and the mouthwash opened and used? what about when they left the towel for the floor (the foot towel) to dry my face? what about the slippers that, although being still in the bag, had all the sole broken and left tiny plastic parts over the way to the garbage (all over the room, de facto). i didn't realise that would happen to me until i saw paris hilton on tv and then i knew god is great and he did it to us for being such an idiots to go to a company that has been able to create her. shame on us, actually!
",0
"The name Conrad (the most luxurious of all Hilton hotels) should illicit nothing but images of pure elegance and luxury; however, the Conrad in Chicago, IL did obviously not receive the memo. Upon entering the hotel, we were not greeted by any of the hotel staff. Additionally, we were not offered any help. The desk receptionist was beyond rude. Her snide remarks towards my wife and me set the tone for a the rest of our stay. After getting our card, we were finally offered help with our luggage. The young man who helped us could barely handle our luggage. Strangely, he somehow found more strength when it was time to collect his tip. He received the tip he deserved, which he scoffed about and groaned under his breath as he walked away. Upon first looking at the room it was beautiful. However, closer inspection revealed that the room had NOT been cleaned since the last visitor had left. There was hair in the sink and around the toilet. There was even a used bar of soap in the bathtub. This fact was not met with any apology by hotel staff. Instead, I was told that was preposterous and that the room had indeed been cleaned to the highest of standards. Two-hours later, someone came into the room to ""investigate"". When they saw the mess that had been left, they offered a menial apology. Still another two hours later, housekeeping arrived. The level of incompetence even extended to the valets in the parking garage. In the most incredible display of stupidity of our visit, the valet actually brought the wrong car to me. I was half tempted to take the car that was brought to me (it was certainly an incredible make and model), but my better judgment prevailed. I informed the valet of his mistake, to which he replied, ""Sorry dude, I read your ticket wrong."" I know that he did not smoke in my car, but he smelled so strongly of smoke, that the smell melted into my seat. Luckily, its location on Rush will help get out of the terror that is Conrad Chicago. There are so many better hotels in Chicago -- please spend your money elsewhere.
",1
"We choose to stay at the hotel due to the high rooftop ratings at the hotel. Not only is the rooftop terrace on the 5th floor, but it was occuppied with private corporate events for the entire duration of our stay. We did - as recommended - have a drink indoors only to be highly insulted by their bartender there. There is no breakfast buffet - you order a la carte. Keep that in mind when paying extra for breakfast and internet. Also note that the minibar is empty on arrival - we were only told on departure that we would have needed to call reception to order. We have stayed at the Omni before and it as a much better experience. I dont recommend spending so much for a mediocre hotel.
",0
"Overpriced is the best word to describe the Conrad Chicago hotel. While it may be in downtown Chicago, the room had no view. Although I asked for non-smoking, the room reeked of smoke. The elevators were very slow, and one was not working during my stay. There was a stain on the pillow, and the leg of one of the chairs in the room was broken. There was a dead bug in the bath tub. I was only given 2 towels for my 4 night stay. My credit card was billed twice, and it took 2 weeks to reverse to extra charge. I do not recommend this hotel at all!
",1
"I live in Chicago and have frequent occasion to recommend hotels to friends and business acquaintances. We recently put up a candidate (and his family) we were recruiting for our company at the Conrad. We had had good luck with this hotel when it was a Le Meridien. It was a disappointment for all concerned as a Conrad. On the plus side, our guests were able to check in early with no problem and they generally liked their room. On the downside... They learned after the fact that all rooms with two beds have no bath tub (only a shower). Our guests moved to a room with a bath tub and found hairs in it, which they had to clean themselves. When the coffee bar had no caffeinated coffee and our guests asked for some, they were told it would be delivered immediately. When they called 30 minutes later the front desk admitted that they had ""forgotten."" While the concierge and doorman were quite helpful, our guests told us that the front desk personnel were sullen and unresponsive. Our guests were generally under whelmed by one of the ""five best hotels in Chicago."" Conrad has a long way to go to compete with the Four Seasons, Peninsula and Park Hyatt.
",0
"This hotel is rather far from the airport and in traffic it took almost 2 hours to get there. By that time, I was so tired I was just ready to check in to my room. I stood in line forever as there was only one person working at the front desk. That was only the beginning. It was very noisy outside from people constantly walking around. I guess it's because they're located in the middle of the downtown area, but they could at least make the walls thicker. I don't want to hear everything going on in my neighbor's room. The bathroom was not very clean and one of the towels had a hole in it. The toilet ran all night which kept me up along with all the people on the street. The restaurant food was horrible and I would rather buy food from a street vendor than to pay the ridiculously high price they charged for a burger. Overall, I was very disappointed with my stay at the Conrad Chicago.
",1
"The Conrad Hilton recently took over this property from the failed Meridian Hotel. It seems that the Conrad has inherited a hotel property that just doesn't work. The entrance is very difficult to find. There are only two elevators to take you up to the lobby. As a result, there was often a line waiting for them. The same problem affects the guest room elevators located beyond the registration area. If you go in and out of the hotel more than a couple of times during your stay, you will find the poor elevator layout annoying. The King room is what I would consider small compared to other Chicago hotels. Although I like modern design, the room was quite stark and cold. It was also showing quite a bit of wear and tear. The bathroom was the best part. Has anyone from management tried to sit in the chair and work at the desk? It was the most uncomfortable set-up I've experienced. The views are non-existent for most of the rooms. In a city with amazing vistas, this was disappointing. I saw a couple walking the halls with management trying to find a room that was acceptable to them. Room service breakfast was a highlight of our stay. Excellent food and high quality presentation. Sorry I couldn't write a better review. Would I stay here again? No. Chicago has some incredible hotels and this is not one of them.
",0
"Chicago has many wonderful luxury hotels for tourists and business travelers. When visiting the Windy City, however, the Conrad Hotel and Resort is one to avoid. While the description promises clean accommodations, luxury amenities, and ""deep soaking tubs,"" in relity, the rooms fall short of expectations. I opened the door to my suite to find a musty smell in the room similar to that of an old neglected closet. A bit disappointed, I decided to ignore this fact. Hoping to take a nice long soak after my travels, I made my way to the bathroom. While I did find a large, deep bathtub, there was a hard water stain giving it a dingy look. Hardly what I expected for the price I paid for the accommodations. In the corner of the bathroom, I found a reminder of a pevious guest, a clump of blond hair. The maid service seemed to be lacking. Not to be deterred from enjoying my stay, I decided to watch television on the 42 inch flat screen I had been promised. Unfortunately, the battery to the remote control was dead. I called the front desk, at my wits' end, to complain about the issues, but was greeted by a desk clerk with a very sassy attitude who seemed to doubt my every word. Overall, I would definitely not recommend the Conrad Hotel and Resort in Chicago. My room was dirty, the staff was unfriendly, and the ammenities were few and far between. On my next stay in Chicago, I will definitely stay elsewhere.
",1
"Great, awesome service. Seriously, the people are amazing. That, and the nice bartender who serves after last call (at least, that's what I was told - I of course don't drink) save this place from one star. But seriously blah, small, non-luxury rooms with beds that are just really uncomfortable - and for a card rate of $725/night, even in a major city, the rooms better be awesome. I've had waaaay better rooms in NYC for $350/night. (Good thing I had a corporate rate.) And my room was not especially big, despite what the below reviews say. But here's the main problem. Even on the 10th floor, the guy blowing the whistle to summon cabs downstairs woke me up at 6, and 6:15, and 6:30, and 6:45, and 6:50, and 6:55, and...and, well, I finally got up and said screw it, let's greet the day. Maybe everyone else was already up, but somehow I doubt it. Am now safely ensconced in the Four Seasons.
",0
