Review,Fake
"I recently stayed at the Hotel Allegro Chicago with my wife. I was on business but I thought I'd take her so we could see the city as well. Chicago was great, The Allegro...not so much. I mean it looked nice, great lobby and all. The service wasn't so great though. The clerk was a younger girl who seemed a bit rude. Like we were bothering her and interrupting her day by wanting to book a weekend. The bell hop took our bags to our room, none to gently. My wife and I watched as he threw our luggage on the floor in our room. Which wasn't that bad till he actually asked for a tip! Our room was okay. The bed was sort of rough and made a odd plastic rubbing noise every time you moved. The next day my wife went out and returned to find our room wasn't cleaned. Our trip to the Chicago had it's nice moments, all outside the hotel. The Hotel Allegro seemed like they spent too much on the appearance and neglected to staff it better. I won't stay there again.
",1
"This hotel must have originally been an ordinary downtown hotel in a not very nice neighborhood. The owners have painted it over and fixed up the lobby to make it an ""upscale"" overpriced boutique hotel. But it's still just an ordinary hotel with a paint job. Stay here if you want to experience staying in a flophouse, but with all the sleaze removed. Definitely stay at the chain's other location, the Burnham, for a much, much nicer hotel.
",0
"I recently stayed at the Hotel Allegro in Chicago while on a business trip. I have to say that I was very displeased with the service i received during my stay. Even though their website boasts that their staff will be at your beck and call, i found them to be very rude. The beds were extremely uncomfortable and the noise level very high. I was awakened by guests in the next room several times. Even though I complained to the front desk, they did not resolve the issue. I definitely would not recommend this hotel and I will be staying at a different hotel if I am in the area again.
",1
"My Husband and I did not enjoy stay at Hotel Allegro! The room was so small. The bathroom was ridiculously stupid, everytime you use the sink you would splash water on yourself. Truly one person at time in the bathroom, it was like being in an airplane's bathroom. The walls are so thin, we heard the people across hall having sex. The some staff were really rude. I did not appreciate it when we had a sign on the door saying do not disturb the day of our check out. Check out time is 11am or 12 and we got a know on the door at 8AM with the sign stating "" do not disturb. "" The hotel did not have any microwaves in their rooms, no mini fridge, and no coffee maker either. NO DRAWERS to put your clothes in and the closet was very very very tiny. We were there for four days and three nights, so we had three suit cases full of clothes and no places to store them at. I also hated the fact that we had to pay almost fifty to park our car. My Husand and I will never stay at Hotel Allegro again!!!
",0
"I recently visited Chicago. I stayed at the Hotel Allegro Chicago. First of all I did not enjoy the welcome as i checked in to the hotel. My hotel price was off the roof and i only used it to sleep and eat breakfast. The food served was not up to par I felt like it was a cheap ""free"" lunch. My room was crowded and my waste baskets did not have bags in them. My toilet paper row was half way finished when I checked in. I felt that the house keepers gave us dirty looks as we went in and out of the room. I did not feel safe, I had to hide my valuables and I kept the ""BUSY"" sign on the door so no one would enter and take stuff. The rooms did not appear as they do on their website, it is actually the opposite. Looked to me like a regular motel inn but I paid way more than I would have at an actual motel inn. I did not appreciate that none of the electrical outlets worked and my phone was dead for my whole duration of the trip. I would not recommend this Hotel to anyone.
",1
"I stayed at the Allegro Hotel while interviewing for a position in Chicago. I read the reviews and they were mixed, but since the property was suggested by the organization (due to location), I booked a room. True to the reviews, the room was extremely small, was cold (the heater blew in cold air in -2 degree weather), and just generally uncomfortable. There was no closet so I hung my suit on the doorknob of the door of the adjoining room. The bathroom was extremely small and although tidy, not especially clean (it was dusty). The bed (which was supposed to be a queen but was really a full) was quite low and the sheets were hard. Because I arrived late, I ordered room service. There was so little space in the room that the wait staff had to approach the desk/table sideways. Although there is free wireless (a plus), I kept getting kicked out of the system and had to, no lie, reconnect on-line a record 16 times. Finally, to top it all off, the television stopped working just a little before midnight. I was only there for one evening (not even 12 hours) but that was enough for me. This is supposed to be a 4 star boutique hotel but I've stayed at better 2 star properties. On the positive side, the staff is nice and friendly, the food is reasonably good, and the lobby is really vibrant. There is a martini bar (although as I was coming in, a hotel guest was complaining about it being unsually smokey) that looked interesting. Overall though, not the best stay I've had. I won't be staying again.
",0
"I visited the Hotel Allegro Chicago while I was on vacation with my daughter. I booked the room and was very excited because the website alludes to a very lavish interior with amenities far superior to the surrounding hotels. I was particularly excited there was a fitness center because I work out on a regular basis and I would not have to give that up on my vacation. Let me start by saying the staff was very rude and I was very dissappointed they could not respect that I was very tired after traveling a very long way. I booked the hotel stay for over a week, which was very expensive, and that seemed to not matter to them at ALL, despite that fact that I was travelling with a small child as well! They did nothing to accommodate me, and the woman at the front desk even refused rudely to take my calls or answer any questions about nearby restaraunts insisting that even though she worked there she ""didn't know the area"" To tope it all off, the fitness center was under construction so I never got to use it. Worst hotel experience of my life, I will never go back. - Sandy D.
",1
"This is about the fourth time we stayed at the Allegro. The previous times, I have nothing but good to say about the Allegro. But my reaction has soured on this place. We have stayed here the past few years on the first weekend in December as a kick off to the holiday season and our shopping. From the very start, this year was a disappointment. I had checked the deals on a number of sites before calling the Allegro. I was quoted one price (higher than what was on line), when I mentioned this, I was told I could have the lower price. At check in, the desk was nice but not friendly. We discovered that our room was not as good as in the past (punishment for asking for a lower price?) The closet had no hangers, we had no place to put our suitcase. No one mentioned the wine reception in the evening. On the second day, we discovered that even our bath mat for the shower was missing. It took two phone calls and almost two hours to get a new one. I wrote the management following our stay. I have yet to receive a reply. Needless to say we will be looking elsewhere when we go into the city the next time. I would advise others to do the same.
",0
"I was unimpressed by the quality of this hotel. The overall look of the place was marred by what felt like poor maintenance. Given that this is supposed to be a luxury hotel and charges rates at that level, this was most disappointing. Nor was I impressed with the snooty attitude taken by the hotel staff.
",1
"This hotel is rather stupid to be frank. It's a horrible attempt to be retro-sheek but ends up looking similar to that Saturday Night live skit where things are so sheek that they are not functional. The rooms are about the size of a shoe box and there isn't much in them. I actually like the Pedestal in the bathroom but there is no sink. I had to put my make-up on using the toliet for 5-days. It also took me 10-minutes to figure out how to turn on the shower and the bathroom is more like a closet then anything. I had guests over one evening and everyone could hear everyone pee b/c the bathroom doors aren't doors at all and there is no bathroom fan! It was just over the top for me and lots of costruction nearby to keep you up at night. On a good note, the staff are really friendly and the place is really clean. That's about the only good thing I can say about this place. I would not go back.
",0
